id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-01;GRFURN;;34.0;6.0;755.32;670.02;19.86;1768.75;175.0;0.0;;175.0;;1408.26;;949.46;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-02;GRFURN;;34.0;6.0;755.45;670.15;20.44;1337.04;186.0;0.0;;186.0;;1350.01;;877.91;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-03;GRFURN;;34.0;6.0;755.56;671.08;20.93;1324.96;351.0;0.0;;351.0;;1324.17;;814.7;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-04;GRFURN;;34.0;6.0;755.65;671.45;21.33;1149.88;353.0;0.0;;353.0;;1261.95;;771.43;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-05;GRFURN;;34.0;6.0;755.74;671.9;21.73;1126.88;330.0;0.0;;330.0;;1232.19;;786.65;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-06;GRFURN;;34.0;6.0;755.82;672.47;22.08;1172.33;464.0;0.0;;464.0;;1230.83;;796.38;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-07;GRFURN;;34.0;6.0;755.9;672.14;22.44;1206.33;498.0;0.0;;498.0;;1207.65;;760.71;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-08;GRFURN;;34.0;6.0;755.92;672.0;22.53;790.08;613.0;0.0;;613.0;;1100.2;;675.75;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-09;GRFURN;;34.0;6.0;755.95;671.74;22.66;768.62;503.0;0.0;;503.0;;956.47;;589.65;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-10;GRFURN;;34.0;6.0;755.98;672.41;22.8;853.63;588.0;0.0;;588.0;;873.58;;548.66;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-11;GRFURN;;34.0;6.0;756.0;672.73;22.88;903.08;726.0;0.0;;726.0;;825.4;;516.86;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-12;GRFURN;;34.0;6.0;756.02;671.37;22.98;866.81;677.0;0.0;;677.0;;826.93;;499.22;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-13;GRFURN;;34.0;6.0;756.05;671.5;23.12;715.72;431.0;0.0;;431.0;;834.54;;488.59;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-14;GRFURN;;34.0;6.0;756.11;671.51;23.41;939.44;370.0;0.0;;370.0;;801.53;;488.51;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-15;GRFURN;;34.0;6.0;756.12;672.15;23.46;685.91;591.0;0.0;;591.0;;750.3;;483.77;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-16;GRFURN;;34.0;6.0;756.15;672.0;23.6;890.72;606.0;0.0;;606.0;;704.51;;467.2;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-17;GRFURN;;34.0;6.0;756.15;672.49;23.6;722.0;722.0;0.0;;722.0;;672.54;;450.74;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-18;GRFURN;;34.0;6.0;756.13;672.44;23.5;592.19;782.0;0.0;;782.0;;643.04;;430.24;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-19;GRFURN;;34.0;6.0;756.09;673.0;23.31;412.37;792.0;0.0;;792.0;;597.95;;391.3;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-20;GRFURN;;34.0;6.0;756.08;671.54;23.27;437.09;532.0;0.0;;532.0;;579.91;;379.5;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-21;GRFURN;;34.0;6.0;756.08;671.83;23.27;310.0;310.0;0.0;;310.0;;605.48;;402.68;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-22;GRFURN;;34.0;6.0;756.1;671.75;23.36;656.81;467.0;0.0;;467.0;;659.15;;444.83;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-23;GRFURN;;34.0;6.0;756.09;672.36;23.31;626.09;721.0;0.0;;721.0;;698.1;;480.0;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-24;GRFURN;;34.0;6.0;756.1;672.59;23.31;1000.91;906.0;0.0;;906.0;;719.78;;500.3;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-25;GRFURN;;34.0;6.0;756.12;672.35;23.46;806.81;617.0;0.0;;617.0;;731.51;;500.31;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-26;GRFURN;;34.0;6.0;756.12;672.66;23.46;756.0;756.0;0.0;;756.0;;748.62;;492.53;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-27;GRFURN;;34.0;6.0;756.13;673.05;23.5;946.91;852.0;0.0;;852.0;;822.45;;542.11;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-28;GRFURN;;34.0;6.0;756.15;672.68;23.6;837.81;648.0;0.0;;648.0;;852.28;;567.09;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-29;GRFURN;;34.0;6.0;756.14;672.58;23.55;924.09;1019.0;0.0;;1019.0;;924.56;;651.6;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-30;GRFURN;;34.0;6.0;756.14;672.74;23.55;742.0;742.0;0.0;;742.0;;955.57;;694.24;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-01-31;GRFURN;;34.0;6.0;756.14;671.96;23.55;783.0;783.0;0.0;;783.0;;866.59;;602.21;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-01;GRFURN;;34.0;6.0;756.12;672.68;23.46;661.19;851.0;0.0;;851.0;;706.12;;433.27;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-02;GRFURN;;34.0;6.0;756.09;672.31;23.27;429.28;714.0;0.0;;714.0;;678.51;;407.24;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-03;GRFURN;;34.0;6.0;756.12;672.52;23.46;775.72;491.0;0.0;;491.0;;679.25;;420.96;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-04;GRFURN;;34.0;6.0;756.12;672.5;23.46;806.0;806.0;0.0;;806.0;;662.23;;421.7;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-05;GRFURN;;34.0;6.0;756.12;671.99;23.46;614.0;614.0;0.0;;614.0;;613.72;;392.56;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-06;GRFURN;;34.0;6.0;756.12;672.65;23.46;881.0;881.0;0.0;;881.0;;582.42;;377.22;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-07;GRFURN;;34.0;6.0;756.1;671.58;23.36;523.19;713.0;0.0;;713.0;;618.88;;417.45;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-08;GRFURN;;34.0;6.0;756.09;672.09;23.31;573.09;668.0;0.0;;668.0;;688.32;;479.48;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-09;GRFURN;;34.0;6.0;756.09;672.3;23.31;689.0;689.0;0.0;;689.0;;721.68;;504.26;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-10;GRFURN;;34.0;6.0;756.11;672.04;23.41;904.81;715.0;0.0;;715.0;;746.89;;508.3;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-11;GRFURN;;34.0;6.0;756.15;673.01;23.6;947.63;568.0;0.0;;568.0;;804.16;;515.07;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-12;GRFURN;;34.0;6.0;756.16;672.34;23.65;1069.91;975.0;0.0;;975.0;;838.87;;510.98;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-13;GRFURN;;34.0;6.0;756.16;671.52;23.65;859.0;859.0;0.0;;859.0;;861.64;;552.75;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-14;GRFURN;;34.0;6.0;756.15;672.88;23.6;642.09;737.0;0.0;;737.0;;870.25;;604.08;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-15;GRFURN;;34.0;6.0;756.12;672.91;23.46;572.28;857.0;0.0;;857.0;;873.11;;629.04;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-16;GRFURN;;34.0;6.0;756.07;672.88;23.22;631.46;1106.0;0.0;;1106.0;;875.62;;628.75;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-17;GRFURN;;34.0;6.0;756.05;672.27;23.12;842.19;1032.0;0.0;;1032.0;;843.77;;599.46;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-18;GRFURN;;34.0;6.0;756.06;672.66;23.17;874.91;780.0;0.0;;780.0;;816.76;;578.29;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-19;GRFURN;;34.0;6.0;756.05;672.8;23.12;943.09;1038.0;0.0;;1038.0;;871.89;;599.04;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-20;GRFURN;;34.0;6.0;756.01;672.44;22.93;513.37;893.0;0.0;;893.0;;887.42;;579.62;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-21;GRFURN;;34.0;6.0;755.97;672.7;22.75;617.47;978.0;0.0;;978.0;;788.54;;500.06;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-22;GRFURN;;34.0;6.0;755.93;672.45;22.57;626.83;981.0;0.0;;981.0;;680.83;;437.34;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-23;GRFURN;;34.0;6.0;755.89;672.99;22.4;729.83;1084.0;0.0;;1084.0;;602.27;;392.25;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-24;GRFURN;;34.0;6.0;755.87;672.7;22.31;544.92;722.0;0.0;;722.0;;564.35;;372.65;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-25;GRFURN;;34.0;6.0;755.87;672.51;22.31;420.0;420.0;0.0;;420.0;;543.53;;359.47;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-26;GRFURN;;34.0;6.0;755.87;671.66;22.31;386.0;386.0;0.0;;386.0;;524.19;;342.89;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-27;GRFURN;;34.0;6.0;755.86;672.03;22.26;365.46;454.0;0.0;;454.0;;510.39;;331.18;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-02-28;GRFURN;;34.0;6.0;755.86;671.79;22.26;559.0;559.0;0.0;;559.0;;496.47;;320.95;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-01;GRFURN;;34.0;6.0;755.84;670.38;22.17;505.92;683.0;0.0;;683.0;;555.32;;385.69;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-02;GRFURN;;34.0;6.0;755.83;671.83;22.13;361.46;450.0;0.0;;450.0;;542.15;;376.17;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-03;GRFURN;;34.0;6.0;755.84;672.35;22.17;527.54;439.0;0.0;;439.0;;528.52;;364.39;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-04;GRFURN;;34.0;6.0;755.8;672.66;22.0;513.83;868.0;0.0;;868.0;;514.64;;352.85;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-05;GRFURN;;34.0;6.0;755.77;671.7;21.86;595.38;861.0;0.0;;861.0;;517.64;;351.59;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-06;GRFURN;;34.0;6.0;755.75;672.94;21.77;560.92;738.0;0.0;;738.0;;545.25;;372.83;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-07;GRFURN;;34.0;6.0;755.73;673.07;21.68;683.92;861.0;0.0;;861.0;;575.09;;398.43;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-08;GRFURN;;34.0;6.0;755.68;672.74;21.46;661.29;1104.0;0.0;;1104.0;;601.86;;422.34;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-09;GRFURN;;34.0;6.0;755.66;671.83;21.37;619.92;797.0;0.0;;797.0;;613.93;;436.64;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-10;GRFURN;;34.0;6.0;755.65;672.09;21.33;655.46;744.0;0.0;;744.0;;667.96;;491.18;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-11;GRFURN;;34.0;6.0;755.68;670.2;21.46;575.63;310.0;0.0;;310.0;;737.3;;556.39;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-12;GRFURN;;34.0;6.0;755.67;670.89;21.42;583.46;672.0;0.0;;672.0;;779.01;;589.82;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-13;GRFURN;;34.0;6.0;755.67;670.63;21.42;601.0;601.0;0.0;;601.0;;817.71;;593.3;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-14;GRFURN;;34.0;6.0;755.7;671.58;21.55;825.62;560.0;0.0;;560.0;;855.39;;549.36;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-15;GRFURN;;34.0;6.0;755.72;671.41;21.64;757.08;580.0;0.0;;580.0;;845.6;;484.96;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-16;GRFURN;;34.0;6.0;755.75;672.1;21.77;849.62;584.0;0.0;;584.0;;768.74;;432.47;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-17;GRFURN;;34.0;6.0;755.76;671.84;21.82;669.54;581.0;0.0;;581.0;;673.71;;389.39;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-18;GRFURN;;34.0;6.0;755.76;672.55;21.82;535.0;535.0;0.0;;535.0;;606.04;;364.94;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-19;GRFURN;;34.0;6.0;755.75;671.83;21.77;499.46;588.0;0.0;;588.0;;568.97;;358.12;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-20;GRFURN;;34.0;6.0;755.73;672.45;21.68;557.92;735.0;0.0;;735.0;;554.73;;363.49;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-21;GRFURN;;34.0;6.0;755.7;672.01;21.55;428.38;694.0;0.0;;694.0;;560.67;;380.52;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-22;GRFURN;;34.0;6.0;755.67;672.54;21.42;485.38;751.0;0.0;;751.0;;577.61;;398.63;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-23;GRFURN;;34.0;6.0;755.63;672.95;21.24;418.83;773.0;0.0;;773.0;;602.48;;417.42;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-24;GRFURN;;34.0;6.0;755.62;672.68;21.2;526.46;615.0;0.0;;615.0;;610.98;;421.39;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-25;GRFURN;;34.0;6.0;755.6;672.75;21.11;577.92;755.0;0.0;;755.0;;584.0;;397.14;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-26;GRFURN;;34.0;6.0;755.58;671.88;21.02;498.92;676.0;0.0;;676.0;;538.84;;361.91;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-27;GRFURN;;34.0;6.0;755.55;672.06;20.88;566.37;832.0;0.0;;832.0;;509.01;;343.69;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-28;GRFURN;;34.0;6.0;755.52;671.02;20.75;359.38;625.0;0.0;;625.0;;507.96;;350.38;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-29;GRFURN;;34.0;6.0;755.5;670.69;20.66;359.92;537.0;0.0;;537.0;;581.85;;417.92;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-30;GRFURN;;34.0;6.0;755.51;669.8;20.71;721.54;633.0;0.0;;633.0;;680.68;;464.46;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-03-31;GRFURN;;34.0;6.0;755.58;672.05;21.02;1038.79;419.0;0.0;;419.0;;840.97;;520.51;;;
SE;Sudeste/Centro-Oeste;Reservatório com Usina;GRANDE;FURNAS;2001-04-01;GRFURN;;34.0;6.0;755.63;672.59;21.24;890.71;448.0;0.0;;448.0;;899.85;;474.06;;;
