id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-01-01;RIUHMA;;164.0;91.0;;;;1010.1659999999999;;;;1010.1659999999999;;1012.1363333333334;;143.65366666666665;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-01-31;RIUHMA;;164.0;91.0;;;;1517.1116666666667;;;;1517.1116666666667;;1518.8106666666667;;232.46933333333334;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-03-02;RIUHMA;;164.0;91.0;;;;772.7116666666666;;;;772.7116666666666;;774.1813333333333;;115.385;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-04-01;RIUHMA;;164.0;91.0;;;;836.5226666666666;;;;836.5226666666666;;837.7513333333334;;152.579;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-05-01;RIUHMA;;164.0;91.0;;;;1232.4826666666665;;;;1232.4826666666665;;1233.6913333333332;;240.57700000000003;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-05-31;RIUHMA;;164.0;91.0;;;;892.8919999999999;;;;892.8919999999999;;894.1143333333333;;203.73733333333334;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-06-30;RIUHMA;;164.0;91.0;;;;1239.526;;;;1239.526;;1240.804;;252.858;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-07-30;RIUHMA;;164.0;91.0;376.8;;0.0;522.228;;43.0;;513.42;;526.4963333333333;;115.05199999999999;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-08-29;RIUHMA;;164.0;91.0;432.4256666666667;;44.82;789.7643333333333;;43.0;;43.0;;764.149;;119.59966666666666;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-09-28;RIUHMA;;164.0;91.0;473.97666666666663;;44.317;2463.4016666666666;96.11538461538461;1968.2666666666667;;2051.5666666666666;;2488.0710000000004;;573.2686666666667;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-10-28;RIUHMA;;164.0;91.0;476.1316666666667;;68.98366666666668;548.5413333333333;162.33333333333334;406.8333333333333;;569.1666666666666;;550.4963333333333;;161.06;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2001-11-27;RIUHMA;;164.0;91.0;477.0806666666667;;75.84400000000001;732.0759999999999;280.1;390.43333333333334;;670.5333333333333;;736.1763333333333;;121.141;;;
S;Sul;Reservatório com Usina;URUGUAI;MACHADINHO;2002-01-01;RIUHMA;;164.0;91.0;476.2353333333333;;72.85033333333334;421.1716666666667;0.26666666666666666;283.43333333333334;;283.7;;423.8863333333333;;63.50066666666667;0.0;;
