id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-01;PNPPRI;;145.0;46.0;252.99;237.6;;6628.0;4708.0;1920.0;;6628.0;;9581.4;9512.14;867.40997314;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-02;PNPPRI;;145.0;46.0;252.99;237.59;;6608.0;4688.0;1920.0;;6608.0;;9597.25;9531.27;838.36999512;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-03;PNPPRI;;145.0;46.0;253.0;237.57;;6781.0;4692.0;1920.0;;6612.0;;9931.67;9875.35;776.14001465;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-04;PNPPRI;;145.0;46.0;253.03;237.6;;7146.0;4718.0;1920.0;;6638.0;;10408.32;10365.07;783.47998047;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-05;PNPPRI;;145.0;46.0;253.06;237.57;;7129.0;4553.0;2067.0;;6620.0;;10785.05;10743.3;727.41998291;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-06;PNPPRI;;145.0;46.0;253.06;237.74;;7185.0;4625.0;2560.0;;7185.0;;10996.01;10964.42;678.26000977;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-07;PNPPRI;;145.0;46.0;253.02;237.7;;6483.0;4604.0;2560.0;;7164.0;;10747.34;10701.76;661.91998291;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-08;PNPPRI;;145.0;46.0;252.99;237.7;;6556.0;4505.0;2560.0;;7065.0;;10143.3;10073.28;638.70001221;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-09;PNPPRI;;145.0;46.0;253.02;237.7;;7625.0;4557.0;2560.0;;7117.0;;9526.0;9455.19;604.39001465;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-10;PNPPRI;;145.0;46.0;253.05;237.69;;7573.0;4503.0;2560.0;;7063.0;;9143.43;9100.75;606.0;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-11;PNPPRI;;145.0;46.0;253.08;237.73;;7774.0;4542.0;2720.0;;7262.0;;9174.62;9141.78;651.34997559;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-12;PNPPRI;;145.0;46.0;253.06;238.06;;8370.0;4259.0;4453.0;;8712.0;;9314.89;9288.18;699.96002197;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-13;PNPPRI;;145.0;46.0;253.02;238.32;;7849.0;4050.0;4480.0;;8530.0;;9105.32;9067.16;811.01000977;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-14;PNPPRI;;145.0;46.0;252.99;238.11;;7623.0;3453.0;4679.0;;8132.0;;8824.37;8784.42;876.0300293;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-15;PNPPRI;;145.0;46.0;252.98;237.88;;7282.0;3892.0;3560.0;;7452.0;;8696.12;8646.55;951.11999512;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-16;PNPPRI;;145.0;46.0;253.01;237.59;;7043.0;3456.0;3080.0;;6536.0;;8640.19;8603.15;983.86999512;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-17;PNPPRI;;145.0;46.0;253.08;237.46;;7442.0;3887.0;2363.0;;6250.0;;8528.03;8496.18;962.34997559;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-18;PNPPRI;;145.0;46.0;253.06;237.95;;8166.0;3888.0;4620.0;;8508.0;;8295.87;8266.63;915.19000244;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-19;PNPPRI;;145.0;46.0;253.01;238.53;;8226.0;3532.0;5545.0;;9077.0;;7994.6;7971.7;868.2199707;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-20;PNPPRI;;145.0;46.0;253.03;238.2;;8366.0;2857.0;5170.0;;8027.0;;7608.47;7591.05;820.16998291;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-21;PNPPRI;;145.0;46.0;252.98;237.95;;7044.0;2671.0;5222.0;;7893.0;;7214.71;7196.42;722.27001953;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-22;PNPPRI;;145.0;46.0;252.91;237.89;;6260.0;3866.0;3572.0;;7438.0;;6951.58;6925.42;715.01000977;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-23;PNPPRI;;145.0;46.0;252.97;237.43;;6656.0;3962.0;1687.0;;5649.0;;6776.61;6751.41;695.16998291;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-24;PNPPRI;;145.0;46.0;253.05;237.34;;7264.0;3868.0;2040.0;;5908.0;;6858.73;6818.76;714.55999756;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-25;PNPPRI;;145.0;46.0;253.07;237.54;;6851.0;3952.0;2558.0;;6510.0;;7113.77;7063.67;772.03997803;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-26;PNPPRI;;145.0;46.0;253.08;237.74;;7570.0;4219.0;3181.0;;7400.0;;7348.51;7309.82;830.19000244;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-27;PNPPRI;;145.0;46.0;253.07;238.04;;7754.0;3170.0;4756.0;;7926.0;;7709.28;7607.39;983.7199707;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-28;PNPPRI;;145.0;46.0;253.02;238.17;;7417.0;2924.0;5345.0;;8269.0;;7994.47;7937.02;1012.0;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-29;PNPPRI;;145.0;46.0;253.03;238.03;;7263.0;3934.0;3160.0;;7094.0;;8028.05;7977.8;937.47998047;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-30;PNPPRI;;145.0;46.0;253.06;237.79;;7355.0;3645.0;3200.0;;6845.0;;8029.61;7985.05;896.25;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-31;PNPPRI;;145.0;46.0;253.06;237.74;;7182.0;3361.0;3822.0;;7183.0;;8209.25;8161.01;854.46002197;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-01;PNPPRI;;145.0;46.0;253.15;237.71;;7979.0;3665.0;2770.0;;6435.0;;8597.22;8525.68;822.59002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-02;PNPPRI;;145.0;46.0;253.3;237.42;;8321.0;3715.0;1993.0;;5708.0;;8784.71;8723.87;884.27001953;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-03;PNPPRI;;145.0;46.0;253.38;237.31;;7247.0;3581.0;2253.0;;5834.0;;8875.41;8821.49;931.52001953;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-04;PNPPRI;;145.0;46.0;253.36;237.81;;7096.0;4124.0;3327.0;;7451.0;;8875.76;8814.89;871.2800293;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-05;PNPPRI;;145.0;46.0;253.48;237.34;;7656.0;3316.0;2199.0;;5515.0;;8747.34;8678.71;822.96002197;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-06;PNPPRI;;145.0;46.0;253.55;237.29;;6916.0;3728.0;1925.0;;5653.0;;8503.09;8402.24;823.54998779;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-07;PNPPRI;;145.0;46.0;253.67;237.46;;8640.0;3844.0;2606.0;;6450.0;;8199.13;8099.54;849.09997559;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-08;PNPPRI;;145.0;46.0;253.68;237.77;;7705.0;4075.0;3447.0;;7522.0;;7821.41;7760.75;881.84002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-09;PNPPRI;;145.0;46.0;253.66;238.04;;7501.0;4074.0;3795.0;;7869.0;;7414.26;7344.15;840.80999756;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-10;PNPPRI;;145.0;46.0;253.7;237.81;;7678.0;4089.0;2853.0;;6942.0;;7213.87;7137.95;831.75;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-11;PNPPRI;;145.0;46.0;253.68;237.83;;7257.0;3996.0;3630.0;;7626.0;;7518.94;7454.74;931.34002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-12;PNPPRI;;145.0;46.0;253.67;237.92;;7422.0;3647.0;3959.0;;7606.0;;8075.2;8013.24;972.42999268;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-13;PNPPRI;;145.0;46.0;253.69;237.78;;7451.0;3453.0;3630.0;;7083.0;;8542.25;8465.14;1084.94995117;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-14;PNPPRI;;145.0;46.0;253.69;237.94;;7869.0;3657.0;4213.0;;7870.0;;8735.42;8669.83;1238.51000977;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-15;PNPPRI;;145.0;46.0;253.68;238.09;;8297.0;3995.0;4486.0;;8481.0;;8751.36;8687.62;1458.68994141;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-16;PNPPRI;;145.0;46.0;253.67;238.29;;8679.0;3912.0;4951.0;;8863.0;;8893.4;8807.73;1665.51000977;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-17;PNPPRI;;145.0;46.0;253.68;238.11;;8145.0;4209.0;3754.0;;7963.0;;9048.67;8976.63;1563.93005371;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-18;PNPPRI;;145.0;46.0;253.68;237.95;;7456.0;4156.0;3300.0;;7456.0;;9204.14;9140.84;1493.59997559;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-19;PNPPRI;;145.0;46.0;253.71;237.62;;7545.0;3143.0;3849.0;;6992.0;;9427.02;9372.92;1723.23999023;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-20;PNPPRI;;145.0;46.0;253.71;237.85;;7897.0;2959.0;4938.0;;7897.0;;9601.06;9557.37;1896.25;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-21;PNPPRI;;145.0;46.0;253.73;238.12;;9606.0;3454.0;5783.0;;9237.0;;9448.38;9406.1;1632.5;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-22;PNPPRI;;145.0;46.0;253.68;238.69;;9408.0;3860.0;6472.0;;10332.0;;9167.97;9119.37;1435.63000488;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-23;PNPPRI;;145.0;46.0;253.72;238.28;;9289.0;4591.0;3960.0;;8551.0;;8845.87;8808.51;1320.85998535;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-24;PNPPRI;;145.0;46.0;253.72;238.11;;8506.0;4647.0;3859.0;;8506.0;;8538.79;8487.46;1194.57995605;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-25;PNPPRI;;145.0;46.0;253.69;238.1;;8029.0;4623.0;3960.0;;8583.0;;8279.13;8243.5;1203.17004395;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-26;PNPPRI;;145.0;46.0;253.67;238.03;;7425.0;4606.0;3188.0;;7794.0;;8113.06;8079.43;1218.01000977;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-27;PNPPRI;;145.0;46.0;253.7;237.73;;7190.0;4658.0;1980.0;;6638.0;;7949.88;7922.39;1215.2199707;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-02-28;PNPPRI;;145.0;46.0;253.72;237.64;;7099.0;4750.0;1980.0;;6730.0;;7674.26;7643.05;1114.54003906;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-01;PNPPRI;;145.0;46.0;253.81;237.64;;8340.0;4756.0;1911.0;;6667.0;;7317.2;7297.35;1010.40002441;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-02;PNPPRI;;145.0;46.0;253.93;237.22;;7875.0;4199.0;1418.0;;5617.0;;7074.79;7036.46;939.17999268;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-03;PNPPRI;;145.0;46.0;254.05;237.18;;7728.0;3874.0;1564.0;;5438.0;;6995.74;6965.74;883.59997559;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-04;PNPPRI;;145.0;46.0;254.1;237.22;;6381.0;4438.0;980.0;;5418.0;;6949.57;6924.0;853.77001953;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-05;PNPPRI;;145.0;46.0;254.23;237.08;;7187.0;4514.0;144.0;;4658.0;;6870.9;6844.98;804.98999023;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-06;PNPPRI;;145.0;46.0;254.39;236.93;;7434.0;4270.0;0.0;;4270.0;;6851.43;6820.15;758.89001465;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-07;PNPPRI;;145.0;46.0;254.55;236.92;;7666.0;3962.0;485.0;;4447.0;;7006.85;6975.69;752.97998047;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-08;PNPPRI;;145.0;46.0;254.71;236.91;;7756.0;3813.0;668.0;;4481.0;;7358.64;7309.88;829.29998779;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-09;PNPPRI;;145.0;46.0;254.9;236.92;;8534.0;3920.0;653.0;;4573.0;;7781.39;7733.79;929.59002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-10;PNPPRI;;145.0;46.0;255.08;236.98;;8370.0;3703.0;845.0;;4548.0;;8093.25;8056.67;1007.88000488;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-11;PNPPRI;;145.0;46.0;255.18;237.0;;6665.0;2952.0;1571.0;;4523.0;;8516.74;8485.24;1113.92004395;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-12;PNPPRI;;145.0;46.0;255.3;236.99;;7309.0;3694.0;1028.0;;4722.0;;9046.6;9015.36;1150.75;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-13;PNPPRI;;145.0;46.0;255.42;237.0;;7122.0;3136.0;1382.0;;4518.0;;9349.51;9321.84;1094.42004395;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-14;PNPPRI;;145.0;46.0;255.57;236.96;;7765.0;3378.0;1108.0;;4486.0;;9684.59;9659.49;1059.34997559;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-15;PNPPRI;;145.0;46.0;255.74;236.86;;8241.0;2903.0;1589.0;;4492.0;;10094.79;10062.57;1057.79003906;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-16;PNPPRI;;145.0;46.0;255.92;236.89;;8524.0;2834.0;1683.0;;4517.0;;10248.91;10215.03;953.73999023;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-17;PNPPRI;;145.0;46.0;256.1;236.89;;8779.0;3409.0;1324.0;;4733.0;;10017.76;9979.88;865.25;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-18;PNPPRI;;145.0;46.0;256.24;236.87;;8272.0;1152.0;3947.0;;5099.0;;9488.59;9458.64;836.60998535;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-19;PNPPRI;;145.0;46.0;256.37;237.08;;8126.0;3730.0;1429.0;;5159.0;;8928.45;8896.88;821.91998291;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-20;PNPPRI;;145.0;46.0;256.55;236.86;;8936.0;3874.0;921.0;;4795.0;;8534.72;8476.22;879.33001709;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-21;PNPPRI;;145.0;46.0;256.63;237.03;;6866.0;3019.0;1994.0;;5013.0;;8227.38;8171.46;850.0300293;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-22;PNPPRI;;145.0;46.0;256.74;236.8;;7822.0;506.0;4757.0;;5263.0;;8003.02;7948.26;859.82000732;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-23;PNPPRI;;145.0;46.0;256.82;237.56;;8676.0;1135.0;5668.0;;6803.0;;7825.38;7776.78;821.5300293;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-24;PNPPRI;;145.0;46.0;256.88;237.3;;6919.0;3283.0;2228.0;;5511.0;;7684.09;7606.44;774.09997559;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-25;PNPPRI;;145.0;46.0;256.98;237.07;;7296.0;2024.0;2915.0;;4939.0;;7470.78;7398.45;722.17999268;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-26;PNPPRI;;145.0;46.0;257.08;236.85;;6958.0;3157.0;1432.0;;4589.0;;7229.45;7124.2;686.66998291;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-27;PNPPRI;;145.0;46.0;257.1;237.37;;6816.0;4585.0;1756.0;;6341.0;;7042.34;6939.69;668.84002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-28;PNPPRI;;145.0;46.0;257.09;237.97;;8169.0;4521.0;3886.0;;8407.0;;7019.94;6882.24;707.03997803;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-29;PNPPRI;;145.0;46.0;257.0;238.59;;7172.0;4282.0;5023.0;;9305.0;;7054.46;6942.96;710.40002441;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-30;PNPPRI;;145.0;46.0;256.98;237.93;;6832.0;3769.0;3536.0;;7305.0;;7259.17;7179.03;760.28997803;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-31;PNPPRI;;145.0;46.0;256.99;237.84;;7105.0;4939.0;1931.0;;6870.0;;7542.77;7490.13;795.64001465;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-01;PNPPRI;;145.0;46.0;256.97;237.79;;5931.0;4877.0;1526.0;;6403.0;;7775.81;7688.92;819.53997803;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-02;PNPPRI;;145.0;46.0;257.03;237.49;;7003.0;4744.0;840.0;;5584.0;;7943.15;7874.26;803.11999512;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-03;PNPPRI;;145.0;46.0;257.07;237.22;;6471.0;4581.0;942.0;;5523.0;;8348.85;8291.1;809.92999268;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-04;PNPPRI;;145.0;46.0;257.06;237.53;;6352.0;4420.0;2170.0;;6590.0;;8628.72;8580.67;818.2800293;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-05;PNPPRI;;145.0;46.0;257.04;237.91;;7334.0;2978.0;4830.0;;7808.0;;8518.98;8484.17;795.55999756;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-06;PNPPRI;;145.0;46.0;257.04;237.43;;6258.0;4004.0;2254.0;;6258.0;;8336.15;8299.71;780.15002441;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-07;PNPPRI;;145.0;46.0;257.09;237.5;;8026.0;3333.0;3507.0;;6840.0;;8069.16;8034.09;699.26000977;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-08;PNPPRI;;145.0;46.0;257.0;237.96;;5802.0;2962.0;4973.0;;7935.0;;7888.79;7855.03;668.09002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-09;PNPPRI;;145.0;46.0;257.05;237.4;;6612.0;4420.0;1008.0;;5428.0;;7724.35;7692.47;664.95001221;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-10;PNPPRI;;145.0;46.0;257.06;237.52;;7067.0;4579.0;2251.0;;6830.0;;7448.01;7416.84;690.34002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-11;PNPPRI;;145.0;46.0;257.08;237.74;;7341.0;4861.0;2005.0;;6866.0;;7038.86;6999.72;703.59002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-12;PNPPRI;;145.0;46.0;257.07;237.75;;6725.0;5369.0;1594.0;;6963.0;;6689.21;6665.03;721.5;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-13;PNPPRI;;145.0;46.0;257.05;237.86;;7056.0;4750.0;2781.0;;7531.0;;6438.93;6416.84;735.30999756;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-14;PNPPRI;;145.0;46.0;256.99;237.63;;4709.0;5217.0;913.0;;6130.0;;6201.16;6173.62;706.44000244;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-15;PNPPRI;;145.0;46.0;256.99;237.25;;5511.0;5152.0;359.0;;5511.0;;5996.39;5970.56;680.2199707;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-16;PNPPRI;;145.0;46.0;257.01;237.36;;6200.0;5323.0;404.0;;5727.0;;5829.65;5805.55;657.32000732;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-17;PNPPRI;;145.0;46.0;257.02;237.3;;5769.0;5383.0;150.0;;5533.0;;5680.62;5655.78;636.90002441;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-18;PNPPRI;;145.0;46.0;257.04;237.3;;5884.0;5373.0;37.0;;5410.0;;5544.51;5514.6;579.40002441;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-19;PNPPRI;;145.0;46.0;257.06;237.3;;6080.0;5087.0;518.0;;5605.0;;5471.29;5450.29;571.60998535;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-20;PNPPRI;;145.0;46.0;257.06;237.37;;5766.0;5226.0;540.0;;5766.0;;5383.73;5360.03;564.09002686;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-21;PNPPRI;;145.0;46.0;257.04;237.37;;5157.0;5261.0;371.0;;5632.0;;5299.13;5275.42;551.96002197;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-22;PNPPRI;;145.0;46.0;257.06;237.67;;8043.0;4449.0;3120.0;;7569.0;;5237.06;5209.42;552.69000244;;;
