id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-01;PNPPRI;;145.0;46.0;253.0256666666667;237.807;;7309.633333333333;4006.0;3264.6;;7270.6;;8702.252333333334;8658.403;800.0016621916667;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-01-31;PNPPRI;;145.0;46.0;253.60966666666667;237.84733333333332;;7894.366666666667;3954.8;3493.1;;7447.9;;8479.115;8420.783333333333;1159.583003744;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-03-02;PNPPRI;;145.0;46.0;255.82066666666665;237.16899999999998;;7643.366666666667;3432.5;1928.8333333333333;;5361.333333333333;;8041.733333333334;7989.9383333333335;864.9933369963333;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-04-01;PNPPRI;;145.0;46.0;257.0436666666667;237.56666666666666;;6458.5;4339.033333333334;2072.4;;6411.433333333333;;6495.055333333334;6462.357999999999;712.9606750496666;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-05-01;PNPPRI;;145.0;46.0;257.1046666666667;237.3756666666667;;5838.3;4859.5;931.6666666666666;;5791.166666666667;;5181.9203333333335;5150.772666666667;721.3733296706666;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-05-31;PNPPRI;;145.0;46.0;257.065;236.96733333333336;;5012.883333333333;4622.733333333334;205.46666666666667;;4828.2;;4742.508333333333;4719.798333333334;702.8973307286667;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-06-30;PNPPRI;;145.0;46.0;257.07466666666664;236.68800000000002;;4072.983333333333;3981.766666666667;28.166666666666668;;4009.9333333333334;;4010.6656666666668;3986.3676666666665;603.7020019526666;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-07-30;PNPPRI;;145.0;46.0;257.0093333333333;236.71666666666667;;4047.6666666666665;3931.5;84.93333333333334;;4016.4333333333334;;3389.7916666666665;3369.07;561.7789957683333;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-08-29;PNPPRI;;145.0;46.0;257.07300000000004;236.71966666666668;;4128.033333333334;4007.6;73.3;;4080.9;;3555.8633333333332;3532.2066666666665;608.638001505;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-09-28;PNPPRI;;145.0;46.0;257.086;236.796;;4129.4;4118.533333333334;43.0;;4161.533333333334;;4483.808999999999;4428.605;742.0310038250001;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-10-28;PNPPRI;;145.0;46.0;257.071;236.833;;4363.9;4409.466666666666;17.966666666666665;;4427.433333333333;;5467.305333333334;5438.082666666667;840.4263387039999;;;
SE;Sudeste/Centro-Oeste;Fio dagua;PARANA;PORTO PRIMAVERA;2001-11-27;PNPPRI;;145.0;46.0;257.06733333333335;237.097;;4741.133333333333;4863.733333333334;34.8;;4898.533333333334;;7994.440333333333;7940.414;1022.2733398429999;;;
