id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-01;TOTUCU;;212.0;275.0;68.82;7.26;81.33;15909.66;5519.0;2027.0;;7546.0;;18474.7;;9353.83984375;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-02;TOTUCU;;212.0;275.0;69.14;7.18;83.23;15529.94;5756.0;2717.0;;8473.0;;17450.67;;9329.87988281;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-03;TOTUCU;;212.0;275.0;69.41;7.55;84.5;14018.51;5947.0;3367.0;;9314.0;;16494.36;;9719.62988281;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-04;TOTUCU;;212.0;275.0;69.59;7.94;85.7;14293.29;5877.0;3973.0;;9850.0;;15649.84;;9493.29003906;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-05;TOTUCU;;212.0;275.0;69.76;8.07;86.69;14219.14;6147.0;4413.0;;10560.0;;14950.44;;9252.37011719;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-06;TOTUCU;;212.0;275.0;69.9;8.16;87.65;14042.79;5957.0;4530.0;;10487.0;;14492.6;;9030.49023438;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-07;TOTUCU;;212.0;275.0;70.04;8.16;88.49;13028.09;5468.0;4530.0;;9998.0;;14202.02;;9294.45996094;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-08;TOTUCU;;212.0;275.0;70.17;8.1;89.41;14139.18;6096.0;4547.0;;10643.0;;14081.01;;9454.83007813;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-09;TOTUCU;;212.0;275.0;70.32;8.2;90.42;14868.4;6146.0;4993.0;;11139.0;;14104.03;;9859.04980469;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-10;TOTUCU;;212.0;275.0;70.48;8.45;91.43;14918.28;6086.0;5103.0;;11189.0;;14164.98;;10365.33984375;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-11;TOTUCU;;212.0;275.0;70.64;8.43;92.2;15172.3;6206.0;5470.0;;11676.0;;14234.63;;10925.0703125;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-12;TOTUCU;;212.0;275.0;70.79;8.47;93.31;15515.3;6146.0;5873.0;;12019.0;;14302.42;;10847.21972656;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-13;TOTUCU;;212.0;275.0;70.94;8.74;93.69;13857.5;6016.0;6443.0;;12459.0;;14229.69;;10773.51953125;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-14;TOTUCU;;212.0;275.0;71.0;8.93;93.94;13755.29;5946.0;6877.0;;12823.0;;14138.33;;10765.29003906;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-15;TOTUCU;;212.0;275.0;71.04;9.06;94.26;14728.39;6196.0;7367.0;;13563.0;;14088.55;;10566.0703125;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-16;TOTUCU;;212.0;275.0;71.09;9.29;94.38;14379.2;6276.0;7637.0;;13913.0;;13979.48;;10319.88964844;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-17;TOTUCU;;212.0;275.0;71.11;9.45;94.57;14535.31;6146.0;7690.0;;13836.0;;13902.61;;10287.46972656;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-18;TOTUCU;;212.0;275.0;71.14;9.38;94.57;13786.0;6096.0;7690.0;;13786.0;;13845.97;;10131.63964844;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-19;TOTUCU;;212.0;275.0;71.14;9.39;94.57;13560.0;6263.0;7297.0;;13560.0;;13844.41;;9984.46972656;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-20;TOTUCU;;212.0;275.0;71.14;9.3;94.82;14217.29;6185.0;7100.0;;13285.0;;13857.83;;10134.70996094;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-21;TOTUCU;;212.0;275.0;71.18;9.19;95.2;14362.5;5844.0;7120.0;;12964.0;;13870.66;;10096.46972656;;;
