id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-01;TOTUCU;;212.0;275.0;72.17961111111111;9.35811111111111;101.71694444444444;14576.791777777778;6246.116666666667;7846.35;;14092.466666666667;;14387.801000000001;;10294.734806316;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-06-30;TOTUCU;;212.0;275.0;66.31561111111111;5.923111111111112;64.70772222222222;4243.118;5266.322222222222;0.0;;5266.322222222222;;3826.4936666666667;;1818.1789496527222;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2002-01-01;TOTUCU;;212.0;275.0;72.91388888888889;;92.11316666666666;18601.656944444443;;11656.244444444445;;17439.86111111111;;19544.41016666667;;13250.721783448833;-1.0776555555555556;29.21669111111111;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2002-06-30;TOTUCU;;212.0;275.0;62.719222222222214;383.7142857142857;38.79333333333334;2958.4515;;0.0;;5142.033333333334;;2616.777888888889;;1235.3667182074444;-9.3335;49.56014285714286;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2003-01-01;TOTUCU;;212.0;275.0;70.65761111111111;429.3333333333333;80.22422222222222;15090.094777777778;;6912.1;;12904.594444444445;;15552.851944444445;;10611.535281034166;6.1908076923076925;16.296403846153847;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2003-06-30;TOTUCU;;212.0;275.0;66.61133333333333;;55.317;3371.221222222222;;0.0;;5298.9111111111115;;2920.0847777777776;;1516.3158866036667;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2004-01-01;TOTUCU;;212.0;275.0;71.55161111111111;;84.99255555555555;23009.73061111111;;14036.566666666668;;21078.56111111111;;23878.75088888889;;16192.683867731388;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2004-06-29;TOTUCU;;212.0;275.0;66.95194444444445;;57.02311111111111;3579.6865;;0.0;;5484.238888888889;;3399.1588888888887;;1816.2526618112777;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2005-01-01;TOTUCU;;212.0;275.0;71.25955555555555;;83.01083333333334;17040.474;;7996.0;;15216.261111111111;;17573.31983333333;;11685.740071615834;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2005-06-30;TOTUCU;;212.0;275.0;67.17561111111111;;57.60188888888889;3559.352611111111;;0.0;;4982.177777777778;;3284.277277777778;;1485.507497829889;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2006-01-01;TOTUCU;;212.0;275.0;72.79605555555555;0.0;91.61550000000001;19006.050166666664;0.0;9020.505555555555;;17743.616666666665;;19926.384222222223;;14014.859296334222;-1.246988888888889;33.92530333333333;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2006-06-30;TOTUCU;;212.0;275.0;64.91266666666667;6.090338983050847;45.470444444444446;4331.211333333334;5353.940677966101;0.0;;6042.905555555555;;3950.898333333333;;2034.8560512970555;9.527421348314608;38.51117134831461;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2007-01-01;TOTUCU;;212.0;275.0;71.22533333333332;15.29530726256983;82.56261111111111;15141.929777777777;7662.085714285714;5882.861111111111;;13523.638888888889;;15815.214666666667;;11049.0198581285;-1.8625888888888886;35.2288;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2007-06-30;TOTUCU;;212.0;275.0;64.65872222222222;6.06361581920904;44.753166666666665;2895.5021666666667;4663.785310734464;0.0;;4662.155555555555;;2303.6538333333333;;1066.7854461668335;9.033299999999999;40.195636666666665;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2008-01-01;TOTUCU;;212.0;275.0;68.84288888888888;10.464804469273743;69.2715;15486.573;10255.458100558659;3445.4;;13654.7;;15988.352833333332;;11185.63163655761;-2.389561111111111;36.34920388888889;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2008-06-29;TOTUCU;;212.0;275.0;65.38272222222221;5.615777777777778;48.93661111111111;3350.3875;5187.111111111111;0.0;;5199.033333333334;;2977.1297777777777;;1470.9976108131666;9.276883333333332;42.023719444444446;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2009-01-01;TOTUCU;;212.0;275.0;69.71305555555556;10.28138888888889;73.80338888888889;18747.739944444445;11201.327777777778;5744.75;;16991.444444444445;;19466.668111111114;;13515.140022788166;-2.307573033707865;37.880915168539325;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2009-06-30;TOTUCU;;212.0;275.0;66.0165;6.009666666666667;50.91183333333333;4617.226666666667;6144.55;0.0;;6145.644444444444;;4763.739388888889;;2374.0972205271664;10.358777777777778;43.42304777777778;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2010-01-01;TOTUCU;;212.0;275.0;72.78683333333333;9.410055555555555;91.61461111111112;15536.900944444444;10536.422222222222;3722.5444444444443;;14264.577777777778;;15901.53661111111;;11310.917167834334;-1.1571333333333333;39.47860611111111;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2010-06-30;TOTUCU;;212.0;275.0;63.2485;5.574944444444444;38.435722222222225;3482.5434999999998;5090.533333333334;0.0;;5099.4944444444445;;3005.9855000000002;;1281.501390499611;7.808972222222223;45.00228555555555;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2011-01-01;TOTUCU;;212.0;275.0;70.63300000000001;10.277777777777779;79.11922222222223;19220.4925;11233.06111111111;6436.166666666667;;17591.433333333334;;20479.263777777778;;13578.98994140761;-1.974327777777778;17.810155555555557;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2011-06-30;TOTUCU;;212.0;275.0;65.97422222222222;5.892722222222223;51.384166666666665;4646.777;6091.85;0.0;;6077.733333333334;;4245.994777777778;;2231.7907179094445;9.960883333333333;19.772457777777777;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2012-01-01;TOTUCU;;212.0;275.0;72.62505555555556;9.515833333333333;90.86766666666666;16661.221444444443;10634.444444444445;4608.105555555556;;15220.373222222222;;17044.38988888889;;11436.057594131222;-1.1814833333333334;18.149198333333334;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2012-06-29;TOTUCU;;212.0;275.0;63.33038888888888;5.700611111111111;38.74955555555555;3920.302;5650.094444444445;0.0;;5636.036166666667;;3111.2371111111115;;1540.2336686876667;7.670505555555556;20.63304666666667;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2013-01-01;TOTUCU;;212.0;275.0;70.57249999999999;8.997722222222222;78.73683333333332;15453.036944444444;10827.677777777777;2783.972222222222;;13608.766666666666;;15807.599888888888;;11280.801725261777;-2.08875;18.91237111111111;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2013-06-30;TOTUCU;;212.0;275.0;66.21833333333333;5.675666666666666;53.4875;3762.797833333333;5345.0;0.0;;5349.1611111111115;;3280.7558333333336;;1887.8228841148334;9.705772222222222;21.250648333333334;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2014-01-01;TOTUCU;;212.0;275.0;72.57127777777778;10.045944444444444;90.225;18218.75261111111;11206.527777777777;5670.75;;16856.76111111111;;18817.73888888889;;13276.624203831832;-1.3897166666666667;19.561720555555556;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2014-06-30;TOTUCU;;212.0;275.0;65.30027777777778;5.655888888888889;49.489000000000004;3595.0764444444444;5433.116666666667;0.0;;5435.511111111111;;3074.8166666666666;;1632.1025590684999;8.699688888888888;21.86218111111111;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2015-01-01;TOTUCU;;212.0;275.0;68.79;8.489666666666666;68.15344444444445;13380.218166666667;10249.888888888889;1339.0;;11596.727777777778;0.0;13657.727888888889;;9847.311299643;-2.4047555555555555;20.31041515151515;
