id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-01;TOTUCU;;212.0;275.0;69.52285714285715;7.76;85.37;14434.488571428572;5810.142857142857;3651.0;;9461.142857142857;;15959.232857142857;;9353.422851562858;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-08;TOTUCU;;212.0;275.0;70.62;8.474285714285715;92.05714285714285;14603.75;6091.714285714285;5615.142857142857;;11706.857142857143;;14179.298571428571;;10427.188476562858;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-15;TOTUCU;;212.0;275.0;71.12;9.294285714285715;94.62428571428572;14224.098571428573;6143.714285714285;7414.428571428572;;13558.142857142857;;13912.787142857142;;10217.245535714286;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-22;TOTUCU;;212.0;275.0;71.32285714285715;9.061428571428571;95.94571428571429;13638.727142857142;5831.571428571428;6974.714285714285;;12806.285714285714;;13720.391428571429;;10268.314453125715;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-29;TOTUCU;;212.0;275.0;71.75142857142858;9.22;98.89857142857143;15769.771428571428;6086.857142857143;7907.285714285715;;13994.142857142857;;14505.074285714287;;12563.648437498572;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-02-05;TOTUCU;;212.0;275.0;71.91571428571429;10.145714285714286;99.31714285714285;15220.967142857144;6159.0;9572.285714285714;;15731.285714285714;;15674.861428571428;;10972.097098217142;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-02-12;TOTUCU;;212.0;275.0;71.92571428571429;9.43142857142857;99.7057142857143;14546.320000000002;6248.857142857143;7549.0;;13797.857142857143;;14912.98;;10730.301478797144;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-02-19;TOTUCU;;212.0;275.0;72.05999999999999;10.180000000000001;100.33;16048.254285714285;6422.0;10008.42857142857;;16430.428571428572;;15077.444285714286;;11725.42550223143;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-02-26;TOTUCU;;212.0;275.0;72.01714285714286;9.84;100.22428571428573;15603.032857142856;6190.428571428572;9030.42857142857;;15220.857142857143;;15845.584285714285;;11091.815569197144;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-03-05;TOTUCU;;212.0;275.0;72.04571428571428;9.727142857142857;100.28285714285714;14771.584285714285;6124.714285714285;8924.714285714286;;15049.42857142857;;16138.54142857143;;10678.521344865714;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-03-12;TOTUCU;;212.0;275.0;72.25857142857143;10.678571428571429;102.24857142857142;20043.28;6182.0;12630.857142857143;;18812.85714285714;;16871.70857142857;;15295.971121652856;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-03-19;TOTUCU;;212.0;275.0;72.21714285714286;12.344285714285714;101.44571428571429;23139.645714285714;6123.142857142857;17611.85714285714;;23735.0;;24187.125714285714;;14207.16434152;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-03-26;TOTUCU;;212.0;275.0;72.20142857142858;11.799999999999999;101.63714285714286;22074.81428571429;6078.714285714285;15440.42857142857;;21519.14285714286;;23564.49142857143;;14463.490094868572;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-04-02;TOTUCU;;212.0;275.0;72.36428571428571;11.978571428571428;102.6557142857143;22621.395714285714;6290.285714285715;16529.571428571428;;22819.85714285714;;21968.70142857143;;16635.562639511427;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-04-09;TOTUCU;;212.0;275.0;72.19142857142857;11.629999999999999;101.30571428571429;20176.88714285714;6376.0;14078.714285714286;;20454.714285714286;;21886.837142857144;;14129.671456475715;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-04-16;TOTUCU;;212.0;275.0;72.38857142857144;10.872857142857143;103.43571428571428;20596.047142857144;6674.428571428572;12056.142857142857;;18730.571428571428;;19589.89285714286;;16227.528878351428;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-04-23;TOTUCU;;212.0;275.0;72.70714285714286;11.558571428571428;105.51714285714286;21218.62714285714;6487.428571428572;13858.0;;20345.428571428572;;19993.96142857143;;16204.242885045713;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-04-30;TOTUCU;;212.0;275.0;72.89714285714285;10.19;106.79285714285713;15548.715714285716;6527.571428571428;8783.0;;15310.57142857143;;16454.905714285713;;11108.802873885714;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-05-07;TOTUCU;;212.0;275.0;72.96285714285715;8.83;107.18714285714286;11489.175714285713;6540.285714285715;4988.571428571428;;11528.857142857143;;11208.655714285715;;7868.3699776799995;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-05-14;TOTUCU;;212.0;275.0;72.97428571428573;7.695714285714286;107.38142857142857;9509.35142857143;6376.714285714285;2775.4285714285716;;9152.142857142857;;8808.857142857143;;6231.427176338571;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-05-21;TOTUCU;;212.0;275.0;73.08285714285714;7.49;108.23428571428572;9532.655714285715;6389.142857142857;2548.1428571428573;;8937.285714285714;;7787.244285714286;;6413.490025111429;;;
