id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-01;SFSOBR;;175.0;169.0;386.8;;36.67;4150.0;;0.0;;1465.0;;4662.0;;3704.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-02;SFSOBR;;175.0;169.0;386.86;;37.17;4000.0;;0.0;;1653.0;;4609.0;;3665.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-03;SFSOBR;;175.0;169.0;386.94;;37.84;3860.0;;0.0;;1518.0;;4494.0;;3559.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-04;SFSOBR;;175.0;169.0;387.02;;38.51;3710.0;;0.0;;1528.0;;4372.0;;3433.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-05;SFSOBR;;175.0;169.0;387.11;;39.28;3490.0;;0.0;;1519.0;;4190.0;;3226.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-06;SFSOBR;;175.0;169.0;387.18;;39.88;3230.0;;0.0;;1505.0;;3980.0;;2965.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-07;SFSOBR;;175.0;169.0;387.24;;40.4;2970.0;;0.0;;1455.0;;3791.0;;2714.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-08;SFSOBR;;175.0;169.0;387.28;;40.74;2850.0;;0.0;;1808.0;;3633.0;;2511.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-09;SFSOBR;;175.0;169.0;387.32;;41.09;2740.0;;0.0;;1933.0;;3526.0;;2390.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-10;SFSOBR;;175.0;169.0;387.35;;41.35;2730.0;;0.0;;1906.0;;3490.0;;2365.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-11;SFSOBR;;175.0;169.0;387.37;;41.53;2790.0;;0.0;;1948.0;;3515.0;;2416.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-12;SFSOBR;;175.0;169.0;387.34;;41.27;2860.0;;0.0;;2078.0;;3570.0;;2501.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-13;SFSOBR;;175.0;169.0;387.42;;41.97;2930.0;;0.0;;1906.0;;3619.0;;2579.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-14;SFSOBR;;175.0;169.0;387.47;;42.42;2970.0;;0.0;;1855.0;;3642.0;;2632.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-15;SFSOBR;;175.0;169.0;387.49;;42.59;2970.0;;0.0;;2105.0;;3631.0;;2651.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-16;SFSOBR;;175.0;169.0;387.53;;42.95;2960.0;;0.0;;2119.0;;3568.0;;2619.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-17;SFSOBR;;175.0;169.0;387.54;;43.04;2850.0;;0.0;;2076.0;;3441.0;;2524.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-18;SFSOBR;;175.0;169.0;387.54;;43.04;2680.0;;0.0;;2114.0;;3249.0;;2364.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-19;SFSOBR;;175.0;169.0;387.58;;43.4;2480.0;;0.0;;2171.0;;3006.0;;2152.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-20;SFSOBR;;175.0;169.0;387.61;;43.67;2270.0;;0.0;;1931.0;;2750.0;;1926.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-21;SFSOBR;;175.0;169.0;387.63;;43.85;2090.0;;0.0;;1851.0;;2528.0;;1734.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-22;SFSOBR;;175.0;169.0;387.63;;43.85;1970.0;;0.0;;2168.0;;2371.0;;1605.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-23;SFSOBR;;175.0;169.0;387.61;;43.67;1900.0;;0.0;;2141.0;;2279.0;;1538.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-24;SFSOBR;;175.0;169.0;387.57;;43.31;1850.0;;0.0;;2129.0;;2218.0;;1495.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-25;SFSOBR;;175.0;169.0;387.56;;43.22;1790.0;;0.0;;2242.0;;2147.0;;1431.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-26;SFSOBR;;175.0;169.0;387.55;;43.13;1700.0;;0.0;;2396.0;;2054.0;;1337.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-27;SFSOBR;;175.0;169.0;387.53;;42.95;1620.0;;0.0;;1955.0;;1970.0;;1248.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-28;SFSOBR;;175.0;169.0;387.52;;42.86;1560.0;;0.0;;1871.0;;1923.0;;1197.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-29;SFSOBR;;175.0;169.0;387.53;;42.95;1550.0;;0.0;;2149.0;;1902.0;;1181.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-30;SFSOBR;;175.0;169.0;387.49;;42.59;1550.0;;0.0;;2141.0;;1886.0;;1175.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-01-31;SFSOBR;;175.0;169.0;387.46;;42.32;1560.0;;0.0;;2250.0;;1874.0;;1174.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-01;SFSOBR;;175.0;169.0;387.47;;42.42;1590.0;;0.0;;2308.0;;2018.0;;1327.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-02;SFSOBR;;175.0;169.0;387.42;;41.97;1740.0;;0.0;;2395.0;;2056.0;;1376.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-03;SFSOBR;;175.0;169.0;387.43;;42.06;1850.0;;0.0;;1896.0;;2123.0;;1451.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-04;SFSOBR;;175.0;169.0;387.43;;42.06;2020.0;;0.0;;1886.0;;2184.0;;1521.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-05;SFSOBR;;175.0;169.0;387.45;;42.24;2090.0;;0.0;;2109.0;;2204.0;;1555.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-06;SFSOBR;;175.0;169.0;387.45;;42.24;2090.0;;0.0;;2229.0;;2180.0;;1547.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-07;SFSOBR;;175.0;169.0;387.44;;42.15;2000.0;;0.0;;2319.0;;2118.0;;1504.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-08;SFSOBR;;175.0;169.0;387.43;;42.06;1830.0;;0.0;;2287.0;;2029.0;;1433.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-09;SFSOBR;;175.0;169.0;387.39;;41.71;1750.0;;0.0;;2395.0;;1938.0;;1360.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-10;SFSOBR;;175.0;169.0;387.33;;41.18;1680.0;;0.0;;1942.0;;1866.0;;1306.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-11;SFSOBR;;175.0;169.0;387.33;;41.18;1620.0;;0.0;;2027.0;;1814.0;;1271.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-12;SFSOBR;;175.0;169.0;387.31;;41.01;1580.0;;0.0;;2142.0;;1752.0;;1227.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-13;SFSOBR;;175.0;169.0;387.22;;40.22;1440.0;;0.0;;2195.0;;1691.0;;1184.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-14;SFSOBR;;175.0;169.0;387.26;;40.57;1400.0;;0.0;;2240.0;;1645.0;;1152.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-15;SFSOBR;;175.0;169.0;387.26;;40.57;1370.0;;0.0;;2119.0;;1599.0;;1119.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-16;SFSOBR;;175.0;169.0;387.22;;40.22;1340.0;;0.0;;2072.0;;1548.0;;1082.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-17;SFSOBR;;175.0;169.0;387.2;;40.05;1300.0;;0.0;;1667.0;;1498.0;;1046.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-18;SFSOBR;;175.0;169.0;387.16;;39.7;1280.0;;0.0;;1758.0;;1452.0;;1014.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-19;SFSOBR;;175.0;169.0;387.15;;39.62;1260.0;;0.0;;1955.0;;1415.0;;989.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-20;SFSOBR;;175.0;169.0;387.08;;39.02;1240.0;;0.0;;2130.0;;1384.0;;968.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-21;SFSOBR;;175.0;169.0;387.13;;39.45;1240.0;;0.0;;2093.0;;1365.0;;958.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-22;SFSOBR;;175.0;169.0;387.06;;38.85;1300.0;;0.0;;1841.0;;1369.0;;970.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-23;SFSOBR;;175.0;169.0;387.04;;38.68;1390.0;;0.0;;1845.0;;1390.0;;998.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-24;SFSOBR;;175.0;169.0;387.02;;38.51;1480.0;;0.0;;1730.0;;1401.0;;1016.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-25;SFSOBR;;175.0;169.0;387.02;;38.51;1480.0;;0.0;;1653.0;;1384.0;;1007.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-26;SFSOBR;;175.0;169.0;387.02;;38.51;1500.0;;0.0;;1525.0;;1366.0;;996.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-27;SFSOBR;;175.0;169.0;387.05;;38.76;1480.0;;0.0;;1475.0;;1350.0;;986.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-02-28;SFSOBR;;175.0;169.0;387.02;;38.51;1370.0;;0.0;;1812.0;;1333.0;;975.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-01;SFSOBR;;175.0;169.0;387.01;;38.42;1400.0;;0.0;;2037.0;;1324.0;;971.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-02;SFSOBR;;175.0;169.0;387.0;;38.34;1440.0;;0.0;;2262.0;;1318.0;;970.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-03;SFSOBR;;175.0;169.0;386.98;;38.17;1410.0;;0.0;;1719.0;;1312.0;;968.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-04;SFSOBR;;175.0;169.0;386.97;;38.09;1390.0;;0.0;;1775.0;;1288.0;;948.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-05;SFSOBR;;175.0;169.0;386.93;;37.75;1370.0;;0.0;;2376.0;;1263.0;;927.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-06;SFSOBR;;175.0;169.0;386.91;;37.58;1360.0;;0.0;;2379.0;;1264.0;;930.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-07;SFSOBR;;175.0;169.0;386.84;;37.0;1360.0;;0.0;;2411.0;;1286.0;;952.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-08;SFSOBR;;175.0;169.0;386.8;;36.67;1400.0;;0.0;;2333.0;;1316.0;;976.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-09;SFSOBR;;175.0;169.0;386.76;;36.34;1440.0;;0.0;;2558.0;;1336.0;;988.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-10;SFSOBR;;175.0;169.0;386.8;;36.67;1690.0;;0.0;;1955.0;;1342.0;;987.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-11;SFSOBR;;175.0;169.0;386.81;;36.75;1700.0;;0.0;;1821.0;;1344.0;;981.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-12;SFSOBR;;175.0;169.0;386.79;;36.58;1630.0;;0.0;;2386.0;;1367.0;;985.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-13;SFSOBR;;175.0;169.0;386.76;;36.34;1560.0;;0.0;;1755.0;;1411.0;;1005.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-14;SFSOBR;;175.0;169.0;386.74;;36.17;1490.0;;0.0;;1352.0;;1483.0;;1044.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-15;SFSOBR;;175.0;169.0;386.76;;36.34;1510.0;;0.0;;1352.0;;1588.0;;1098.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-16;SFSOBR;;175.0;169.0;386.76;;36.34;1560.0;;0.0;;1455.0;;1717.0;;1174.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-17;SFSOBR;;175.0;169.0;386.78;;36.5;1620.0;;0.0;;1498.0;;1844.0;;1256.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-18;SFSOBR;;175.0;169.0;386.79;;36.58;1660.0;;0.0;;1398.0;;1951.0;;1334.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-19;SFSOBR;;175.0;169.0;386.8;;36.67;1720.0;;0.0;;1951.0;;2024.0;;1398.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-20;SFSOBR;;175.0;169.0;386.76;;36.34;1770.0;;0.0;;2262.0;;2072.0;;1450.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-21;SFSOBR;;175.0;169.0;386.68;;35.68;1830.0;;0.0;;2240.0;;2114.0;;1502.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-22;SFSOBR;;175.0;169.0;386.7;;35.84;1910.0;;0.0;;2263.0;;2174.0;;1574.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-23;SFSOBR;;175.0;169.0;386.72;;36.01;2030.0;;0.0;;2273.0;;2260.0;;1674.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-24;SFSOBR;;175.0;169.0;386.72;;36.01;2150.0;;0.0;;1846.0;;2359.0;;1788.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-25;SFSOBR;;175.0;169.0;386.76;;36.34;2230.0;;0.0;;1731.0;;2424.0;;1870.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-26;SFSOBR;;175.0;169.0;386.74;;36.17;2210.0;;0.0;;2341.0;;2397.0;;1861.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-27;SFSOBR;;175.0;169.0;386.72;;36.01;2100.0;;0.0;;2328.0;;2265.0;;1747.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-28;SFSOBR;;175.0;169.0;386.68;;35.68;1940.0;;0.0;;2467.0;;2083.0;;1583.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-29;SFSOBR;;175.0;169.0;386.68;;35.68;1790.0;;0.0;;2420.0;;1913.0;;1431.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-30;SFSOBR;;175.0;169.0;386.6;;35.03;1660.0;;0.0;;2404.0;;1772.0;;1306.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-03-31;SFSOBR;;175.0;169.0;386.63;;35.28;1550.0;;0.0;;1692.0;;1663.0;;1209.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-01;SFSOBR;;175.0;169.0;386.55;;34.63;1500.0;;0.0;;1594.0;;1522.0;;1077.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-02;SFSOBR;;175.0;169.0;386.61;;35.11;1450.0;;0.0;;2136.0;;1406.0;;962.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-03;SFSOBR;;175.0;169.0;386.54;;34.55;1415.0;;0.0;;2234.0;;1336.0;;887.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-04;SFSOBR;;175.0;169.0;386.46;;33.91;1380.0;;0.0;;2332.0;;1318.0;;864.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-05;SFSOBR;;175.0;169.0;386.45;;33.83;1370.0;;0.0;;2313.0;;1317.0;;864.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-06;SFSOBR;;175.0;169.0;386.44;;33.75;1360.0;;0.0;;2173.0;;1306.0;;859.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-07;SFSOBR;;175.0;169.0;386.43;;33.67;1350.0;;0.0;;1651.0;;1285.0;;848.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-08;SFSOBR;;175.0;169.0;386.4;;33.43;1340.0;;0.0;;1666.0;;1267.0;;843.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-09;SFSOBR;;175.0;169.0;386.4;;33.43;1340.0;;0.0;;2203.0;;1268.0;;858.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-10;SFSOBR;;175.0;169.0;386.36;;33.12;1360.0;;0.0;;2343.0;;1277.0;;881.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-11;SFSOBR;;175.0;169.0;386.33;;32.88;1280.0;;0.0;;2211.0;;1275.0;;893.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-12;SFSOBR;;175.0;169.0;386.3;;32.65;1270.0;;0.0;;1905.0;;1241.0;;873.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-13;SFSOBR;;175.0;169.0;386.29;;32.57;1220.0;;0.0;;1636.0;;1178.0;;824.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-14;SFSOBR;;175.0;169.0;386.24;;32.18;1150.0;;0.0;;1754.0;;1112.0;;771.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-15;SFSOBR;;175.0;169.0;386.26;;32.33;1100.0;;0.0;;1728.0;;1064.0;;736.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-16;SFSOBR;;175.0;169.0;386.2;;31.87;1040.0;;0.0;;2395.0;;1027.0;;712.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-17;SFSOBR;;175.0;169.0;386.15;;31.48;1040.0;;0.0;;2251.0;;991.0;;687.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-18;SFSOBR;;175.0;169.0;386.08;;30.94;1010.0;;0.0;;2610.0;;958.0;;665.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-19;SFSOBR;;175.0;169.0;386.0;;30.33;980.0;;0.0;;2471.0;;930.0;;646.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-20;SFSOBR;;175.0;169.0;385.94;;29.87;960.0;;0.0;;2468.0;;906.0;;631.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-21;SFSOBR;;175.0;169.0;385.88;;29.42;950.0;;0.0;;1893.0;;891.0;;623.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-22;SFSOBR;;175.0;169.0;385.88;;29.42;950.0;;0.0;;1808.0;;889.0;;628.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-23;SFSOBR;;175.0;169.0;385.77;;28.6;960.0;;0.0;;2372.0;;898.0;;642.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-24;SFSOBR;;175.0;169.0;385.73;;28.31;970.0;;0.0;;1777.0;;909.0;;659.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-25;SFSOBR;;175.0;169.0;385.74;;28.38;980.0;;0.0;;1426.0;;908.0;;662.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-26;SFSOBR;;175.0;169.0;385.72;;28.23;990.0;;0.0;;1507.0;;895.0;;653.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-27;SFSOBR;;175.0;169.0;385.64;;27.65;990.0;;0.0;;1403.0;;885.0;;646.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-28;SFSOBR;;175.0;169.0;385.68;;27.94;990.0;;0.0;;1389.0;;882.0;;646.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-29;SFSOBR;;175.0;169.0;385.65;;27.72;980.0;;0.0;;1348.0;;874.0;;641.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-04-30;SFSOBR;;175.0;169.0;385.66;;27.79;970.0;;0.0;;1331.0;;863.0;;632.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-01;SFSOBR;;175.0;169.0;385.56;;27.06;970.0;;0.0;;1352.0;;863.0;;634.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-02;SFSOBR;;175.0;169.0;385.65;;27.72;970.0;;0.0;;1397.0;;866.0;;639.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-03;SFSOBR;;175.0;169.0;385.62;;27.5;970.0;;0.0;;1577.0;;869.0;;643.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-04;SFSOBR;;175.0;169.0;385.6;;27.35;970.0;;0.0;;1427.0;;870.0;;646.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-05;SFSOBR;;175.0;169.0;385.61;;27.43;970.0;;0.0;;1341.0;;872.0;;650.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-06;SFSOBR;;175.0;169.0;385.6;;27.35;970.0;;0.0;;1277.0;;873.0;;654.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-07;SFSOBR;;175.0;169.0;385.58;;27.21;970.0;;0.0;;1333.0;;874.0;;657.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-08;SFSOBR;;175.0;169.0;385.57;;27.14;970.0;;0.0;;1332.0;;874.0;;660.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-09;SFSOBR;;175.0;169.0;385.54;;26.92;960.0;;0.0;;1330.0;;873.0;;662.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-10;SFSOBR;;175.0;169.0;385.58;;27.21;950.0;;0.0;;1383.0;;872.0;;664.0;;;
NE;Nordeste;Reservatório com Usina;SAO FRANCISCO;SOBRADINHO;2001-05-11;SFSOBR;;175.0;169.0;385.54;;26.92;940.0;;0.0;;1386.0;;862.0;;657.0;;;
