posto,time_division,model_id,p,h,h_std,avg_cv_mse,total_aic
ITAIPU,dia,1,1,1,0,,101920.47718936982
ITAIPU,dia,1,1,2,0,,101919.88151492679
ITAIPU,dia,1,1,3,0,,101912.7415073661
ITAIPU,dia,1,1,4,0,,101916.50908142932
ITAIPU,dia,1,1,5,0,,101914.90614218314
ITAIPU,dia,1,2,1,0,,97642.85906423659
ITAIPU,dia,1,2,2,0,,97640.93170928383
ITAIPU,dia,1,2,3,0,,97635.86335711984
ITAIPU,dia,1,2,4,0,,97639.71758831818
ITAIPU,dia,1,2,5,0,,97641.5146161506
ITAIPU,dia,1,3,1,0,,97372.61460767484
ITAIPU,dia,1,3,2,0,,97371.81276566953
ITAIPU,dia,1,3,3,0,,97367.71773975332
ITAIPU,dia,1,3,4,0,,97371.57150706039
ITAIPU,dia,1,3,5,0,,97373.0327192158
ITAIPU,dia,1,4,1,0,,97333.07567993154
ITAIPU,dia,1,4,2,0,,97332.52885976907
ITAIPU,dia,1,4,3,0,,97328.47474612069
ITAIPU,dia,1,4,4,0,,97332.31936734902
ITAIPU,dia,1,4,5,0,,97333.54024691752
ITAIPU,dia,1,5,1,0,,97326.51317417328
ITAIPU,dia,1,5,2,0,,97326.04115898738
ITAIPU,dia,1,5,3,0,,97321.93756639196
ITAIPU,dia,1,5,4,0,,97325.7723099295
ITAIPU,dia,1,5,5,0,,97326.85155920128
ITAIPU,dia,2,1,1,0,,117778.81674069476
ITAIPU,dia,2,1,2,0,,117771.14010146099
ITAIPU,dia,2,1,3,0,,117776.85048636702
ITAIPU,dia,2,1,4,0,,117780.81604743747
ITAIPU,dia,2,1,5,0,,117783.81273323146
ITAIPU,dia,2,2,1,0,,111683.50664646196
ITAIPU,dia,2,2,2,0,,111705.41117903568
ITAIPU,dia,2,2,3,0,,111731.50599871026
ITAIPU,dia,2,2,4,0,,111733.29740981162
ITAIPU,dia,2,2,5,0,,111734.79039610946
ITAIPU,dia,2,3,1,0,,109532.98128327336
ITAIPU,dia,2,3,2,0,,109564.71965282313
ITAIPU,dia,2,3,3,0,,109602.87765062782
ITAIPU,dia,2,3,4,0,,109606.53193473222
ITAIPU,dia,2,3,5,0,,109615.4985885089
ITAIPU,dia,2,4,1,0,,108085.70041530974
ITAIPU,dia,2,4,2,0,,108125.96697844841
ITAIPU,dia,2,4,3,0,,108166.92652414438
ITAIPU,dia,2,4,4,0,,108169.62605752004
ITAIPU,dia,2,4,5,0,,108184.51578971167
ITAIPU,dia,2,5,1,0,,106813.97801281969
ITAIPU,dia,2,5,2,0,,106861.25036641846
ITAIPU,dia,2,5,3,0,,106916.65401064284
ITAIPU,dia,2,5,4,0,,106917.980722514
ITAIPU,dia,2,5,5,0,,106928.49889759676
ITAIPU,dia,3,1,1,1,,101926.79053874404
ITAIPU,dia,3,1,1,2,,101929.80640241787
ITAIPU,dia,3,1,1,3,,101936.5411023589
ITAIPU,dia,3,1,1,4,,101939.39729985042
ITAIPU,dia,3,1,1,5,,101939.09762478912
ITAIPU,dia,3,1,2,1,,101926.2563518197
ITAIPU,dia,3,1,2,2,,101929.07281378734
ITAIPU,dia,3,1,2,3,,101935.28531831731
ITAIPU,dia,3,1,2,4,,101938.90397853038
ITAIPU,dia,3,1,2,5,,101937.1234806921
ITAIPU,dia,3,1,3,1,,101919.11832393527
ITAIPU,dia,3,1,3,2,,101921.92779068986
ITAIPU,dia,3,1,3,3,,101928.38243318938
ITAIPU,dia,3,1,3,4,,101931.9741596668
ITAIPU,dia,3,1,3,5,,101930.31391921494
ITAIPU,dia,3,1,4,1,,101922.89394012792
ITAIPU,dia,3,1,4,2,,101925.69250156771
ITAIPU,dia,3,1,4,3,,101932.1490046879
ITAIPU,dia,3,1,4,4,,101935.75461843237
ITAIPU,dia,3,1,4,5,,101934.03858614869
ITAIPU,dia,3,1,5,1,,101921.30679872927
ITAIPU,dia,3,1,5,2,,101924.1203554551
ITAIPU,dia,3,1,5,3,,101930.7822001945
ITAIPU,dia,3,1,5,4,,101934.4366439741
ITAIPU,dia,3,1,5,5,,101932.59227988994
ITAIPU,dia,3,2,1,1,,97648.9235404331
ITAIPU,dia,3,2,1,2,,97652.05801871004
ITAIPU,dia,3,2,1,3,,97664.61257825526
ITAIPU,dia,3,2,1,4,,97667.43597881598
ITAIPU,dia,3,2,1,5,,97674.97697823777
ITAIPU,dia,3,2,2,1,,97647.08374979401
ITAIPU,dia,3,2,2,2,,97649.92762441139
ITAIPU,dia,3,2,2,3,,97662.05732608632
ITAIPU,dia,3,2,2,4,,97665.35495456397
ITAIPU,dia,3,2,2,5,,97671.75057504438
ITAIPU,dia,3,2,3,1,,97642.01507363138
ITAIPU,dia,3,2,3,2,,97645.18993154704
ITAIPU,dia,3,2,3,3,,97656.97474290579
ITAIPU,dia,3,2,3,4,,97660.30197725724
ITAIPU,dia,3,2,3,5,,97666.67909208982
ITAIPU,dia,3,2,4,1,,97645.87824556539
ITAIPU,dia,3,2,4,2,,97649.07160991938
ITAIPU,dia,3,2,4,3,,97660.86081553865
ITAIPU,dia,3,2,4,4,,97664.1757064839
ITAIPU,dia,3,2,4,5,,97670.53267607439
ITAIPU,dia,3,2,5,1,,97647.6913152202
ITAIPU,dia,3,2,5,2,,97650.90790967355
ITAIPU,dia,3,2,5,3,,97662.80867826878
ITAIPU,dia,3,2,5,4,,97666.20210336657
ITAIPU,dia,3,2,5,5,,97672.34873726682
ITAIPU,dia,3,3,1,1,,97378.62057647739
ITAIPU,dia,3,3,1,2,,97382.55737791887
ITAIPU,dia,3,3,1,3,,97394.76878491035
ITAIPU,dia,3,3,1,4,,97397.92521670277
ITAIPU,dia,3,3,1,5,,97408.45219349193
ITAIPU,dia,3,3,2,1,,97377.90107212524
ITAIPU,dia,3,3,2,2,,97381.6396239381
ITAIPU,dia,3,3,2,3,,97393.59312945514
ITAIPU,dia,3,3,2,4,,97397.25885007229
ITAIPU,dia,3,3,2,5,,97406.58944710769
ITAIPU,dia,3,3,3,1,,97373.80793348521
ITAIPU,dia,3,3,3,2,,97377.85893979584
ITAIPU,dia,3,3,3,3,,97389.6519869738
ITAIPU,dia,3,3,3,4,,97393.34606579292
ITAIPU,dia,3,3,3,5,,97402.69735387822
ITAIPU,dia,3,3,4,1,,97377.67072188373
ITAIPU,dia,3,3,4,2,,97381.7369509677
ITAIPU,dia,3,3,4,3,,97393.53191953809
ITAIPU,dia,3,3,4,4,,97397.21639670932
ITAIPU,dia,3,3,4,5,,97406.54297134519
ITAIPU,dia,3,3,5,1,,97379.14877045427
ITAIPU,dia,3,3,5,2,,97383.23646929895
ITAIPU,dia,3,3,5,3,,97395.1608917311
ITAIPU,dia,3,3,5,4,,97398.92626829204
ITAIPU,dia,3,3,5,5,,97408.05599118717
ITAIPU,dia,3,4,1,1,,97339.38287435361
ITAIPU,dia,3,4,1,2,,97345.22057921907
ITAIPU,dia,3,4,1,3,,97358.56211146043
ITAIPU,dia,3,4,1,4,,97362.3785196802
ITAIPU,dia,3,4,1,5,,97369.7587254177
ITAIPU,dia,3,4,2,1,,97338.91440518168
ITAIPU,dia,3,4,2,2,,97344.56981589334
ITAIPU,dia,3,4,2,3,,97357.6766960001
ITAIPU,dia,3,4,2,4,,97361.99984558742
